date,births,dayofyear,wday
1978-08-25T00:00:00Z,10173,237,Fri
1978-08-26T00:00:00Z,8782,238,Sat
1978-08-27T00:00:00Z,8453,239,Sun
1978-08-28T00:00:00Z,9998,240,Mon
1978-08-29T00:00:00Z,10387,241,Tues
1978-08-30T00:00:00Z,10063,242,Wed
1978-08-31T00:00:00Z,9849,243,Thurs
1978-09-01T00:00:00Z,10114,244,Fri
1978-09-02T00:00:00Z,8580,245,Sat
1978-09-03T00:00:00Z,8355,246,Sun
1978-09-04T00:00:00Z,8481,247,Mon
1978-09-05T00:00:00Z,10023,248,Tues
1978-09-06T00:00:00Z,10703,249,Wed
1978-09-07T00:00:00Z,10292,250,Thurs
1978-09-08T00:00:00Z,10371,251,Fri
1978-09-09T00:00:00Z,9023,252,Sat
1978-09-10T00:00:00Z,8630,253,Sun
1978-09-11T00:00:00Z,10154,254,Mon
1978-09-12T00:00:00Z,10425,255,Tues
1978-09-13T00:00:00Z,10149,256,Wed
1978-09-14T00:00:00Z,10265,257,Thurs
1978-09-15T00:00:00Z,10265,258,Fri
1978-09-16T00:00:00Z,9170,259,Sat
1978-09-17T00:00:00Z,8711,260,Sun
1978-09-18T00:00:00Z,10304,261,Mon
1978-09-19T00:00:00Z,10711,262,Tues
1978-09-20T00:00:00Z,10488,263,Wed
1978-09-21T00:00:00Z,10499,264,Thurs
1978-09-22T00:00:00Z,10349,265,Fri
1978-09-23T00:00:00Z,8735,266,Sat
1978-09-24T00:00:00Z,8647,267,Sun
1978-09-25T00:00:00Z,10414,268,Mon
1978-09-26T00:00:00Z,10498,269,Tues
1978-09-27T00:00:00Z,10344,270,Wed
1978-09-28T00:00:00Z,10175,271,Thurs
1978-09-29T00:00:00Z,10368,272,Fri
1978-09-30T00:00:00Z,8648,273,Sat
1978-10-01T00:00:00Z,8686,274,Sun
1978-10-02T00:00:00Z,9927,275,Mon
1978-10-03T00:00:00Z,10378,276,Tues
1978-10-04T00:00:00Z,9928,277,Wed
1978-10-05T00:00:00Z,9949,278,Thurs
1978-10-06T00:00:00Z,10052,279,Fri
1978-10-07T00:00:00Z,8605,280,Sat
1978-10-08T00:00:00Z,8377,281,Sun
1978-10-09T00:00:00Z,9765,282,Mon
1978-10-10T00:00:00Z,10351,283,Tues
1978-10-11T00:00:00Z,9873,284,Wed
1978-10-12T00:00:00Z,9824,285,Thurs
1978-10-13T00:00:00Z,9755,286,Fri
1978-10-14T00:00:00Z,8554,287,Sat
1978-10-15T00:00:00Z,7873,288,Sun
1978-10-16T00:00:00Z,9531,289,Mon
1978-10-17T00:00:00Z,9938,290,Tues
1978-10-18T00:00:00Z,9388,291,Wed
1978-10-19T00:00:00Z,9502,292,Thurs
1978-10-20T00:00:00Z,9625,293,Fri
1978-10-21T00:00:00Z,8411,294,Sat
1978-10-22T00:00:00Z,7936,295,Sun
1978-10-23T00:00:00Z,9425,296,Mon
1978-10-24T00:00:00Z,9576,297,Tues
1978-10-25T00:00:00Z,9328,298,Wed
1978-10-26T00:00:00Z,9501,299,Thurs
1978-10-27T00:00:00Z,9537,300,Fri
1978-10-28T00:00:00Z,8415,301,Sat
1978-10-29T00:00:00Z,8155,302,Sun
1978-10-30T00:00:00Z,9457,303,Mon
1978-10-31T00:00:00Z,9333,304,Tues
1978-11-01T00:00:00Z,9321,305,Wed
1978-11-02T00:00:00Z,9245,306,Thurs
1978-11-03T00:00:00Z,9774,307,Fri
1978-11-04T00:00:00Z,8246,308,Sat
1978-11-05T00:00:00Z,8011,309,Sun
1978-11-06T00:00:00Z,9507,310,Mon
1978-11-07T00:00:00Z,9769,311,Tues
1978-11-08T00:00:00Z,9501,312,Wed
1978-11-09T00:00:00Z,9609,313,Thurs
1978-11-10T00:00:00Z,9652,314,Fri
1978-11-11T00:00:00Z,8352,315,Sat
1978-11-12T00:00:00Z,7967,316,Sun
1978-11-13T00:00:00Z,9606,317,Mon
1978-11-14T00:00:00Z,10014,318,Tues
1978-11-15T00:00:00Z,9536,319,Wed
1978-11-16T00:00:00Z,9568,320,Thurs
1978-11-17T00:00:00Z,9835,321,Fri
1978-11-18T00:00:00Z,8432,322,Sat
1978-11-19T00:00:00Z,7868,323,Sun
1978-11-20T00:00:00Z,9592,324,Mon
1978-11-21T00:00:00Z,9950,325,Tues
1978-11-22T00:00:00Z,9548,326,Wed
1978-11-23T00:00:00Z,7915,327,Thurs
1978-11-24T00:00:00Z,9037,328,Fri
1978-11-25T00:00:00Z,8275,329,Sat
1978-11-26T00:00:00Z,8068,330,Sun
1978-11-27T00:00:00Z,9825,331,Mon
1978-11-28T00:00:00Z,9814,332,Tues
1978-11-29T00:00:00Z,9438,333,Wed
1978-11-30T00:00:00Z,9396,334,Thurs
1978-12-01T00:00:00Z,9592,335,Fri
1978-12-02T00:00:00Z,8528,336,Sat
1978-12-03T00:00:00Z,8196,337,Sun
1978-12-04T00:00:00Z,9767,338,Mon
1978-12-05T00:00:00Z,9881,339,Tues
1978-12-06T00:00:00Z,9402,340,Wed
1978-12-07T00:00:00Z,9480,341,Thurs
1978-12-08T00:00:00Z,9398,342,Fri
1978-12-09T00:00:00Z,8335,343,Sat
1978-12-10T00:00:00Z,8093,344,Sun
1978-12-11T00:00:00Z,9686,345,Mon
1978-12-12T00:00:00Z,10063,346,Tues
1978-12-13T00:00:00Z,9509,347,Wed
1978-12-14T00:00:00Z,9524,348,Thurs
1978-12-15T00:00:00Z,9951,349,Fri
1978-12-16T00:00:00Z,8507,350,Sat
1978-12-17T00:00:00Z,8172,351,Sun
1978-12-18T00:00:00Z,10196,352,Mon
1978-12-19T00:00:00Z,10605,353,Tues
1978-12-20T00:00:00Z,9998,354,Wed
1978-12-21T00:00:00Z,9398,355,Thurs
1978-12-22T00:00:00Z,9008,356,Fri
1978-12-23T00:00:00Z,7939,357,Sat
1978-12-24T00:00:00Z,7964,358,Sun
1978-12-25T00:00:00Z,7846,359,Mon
1978-12-26T00:00:00Z,8902,360,Tues
1978-12-27T00:00:00Z,9907,361,Wed
1978-12-28T00:00:00Z,10177,362,Thurs
1978-12-29T00:00:00Z,10401,363,Fri
1978-12-30T00:00:00Z,8474,364,Sat
1978-12-31T00:00:00Z,8028,365,Sun
