year,month,day,births,day_of_year,day_of_week
1969,4,20,7928,111,7
1969,4,21,9610,112,1
1969,4,22,10226,113,2
1969,4,23,9868,114,3
1969,4,24,9472,115,4
1969,4,25,9646,116,5
1969,4,26,8922,117,6
1969,4,27,7966,118,7
1969,4,28,9518,119,1
1969,4,29,9700,120,2
1969,4,30,9138,121,3
1969,5,1,9206,122,4
1969,5,2,9736,123,5
1969,5,3,8768,124,6
1969,5,4,8094,125,7
1969,5,5,9930,126,1
1969,5,6,9964,127,2
1969,5,7,9626,128,3
1969,5,8,9484,129,4
1969,5,9,9362,130,5
1969,5,10,8516,131,6
1969,5,11,8122,132,7
1969,5,12,9306,133,1
1969,5,13,9862,134,2
1969,5,14,9184,135,3
1969,5,15,9524,136,4
1969,5,16,9824,137,5
1969,5,17,8946,138,6
1969,5,18,8028,139,7
1969,5,19,9494,140,1
1969,5,20,10388,141,2
1969,5,21,9766,142,3
1969,5,22,9406,143,4
1969,5,23,9584,144,5
1969,5,24,8558,145,6
1969,5,25,8226,146,7
1969,5,26,9840,147,1
1969,5,27,10352,148,2
1969,5,28,9938,149,3
1969,5,29,10190,150,4
1969,5,30,9154,151,5
1969,5,31,8640,152,6
1969,6,1,8426,153,7
1969,6,2,9862,154,1
1969,6,3,10158,155,2
1969,6,4,9838,156,3
1969,6,5,9588,157,4
1969,6,6,10006,158,5
1969,6,7,8814,159,6
1969,6,8,8226,160,7
1969,6,9,9738,161,1
1969,6,10,10320,162,2
1969,6,11,9950,163,3
1969,6,12,10220,164,4
1969,6,13,9852,165,5
1969,6,14,8920,166,6
1969,6,15,8402,167,7
1969,6,16,9744,168,1
1969,6,17,10294,169,2
1969,6,18,10220,170,3
1969,6,19,9756,171,4
1969,6,20,10424,172,5
1969,6,21,9034,173,6
1969,6,22,8612,174,7
1969,6,23,9880,175,1
1969,6,24,10624,176,2
1969,6,25,10466,177,3
1969,6,26,10344,178,4
1969,6,27,10776,179,5
1969,6,28,9566,180,6
1969,6,29,8800,181,7
1969,6,30,10588,182,1
1969,7,1,11146,183,2
1969,7,2,10758,184,3
1969,7,3,10562,185,4
1969,7,4,9168,186,5
1969,7,5,9248,187,6
1969,7,6,8860,188,7
1969,7,7,10634,189,1
1969,7,8,10842,190,2
1969,7,9,10576,191,3
1969,7,10,10562,192,4
1969,7,11,10686,193,5
1969,7,12,9472,194,6
1969,7,13,8978,195,7
1969,7,14,10242,196,1
1969,7,15,11296,197,2
1969,7,16,10698,198,3
1969,7,17,10668,199,4
1969,7,18,10632,200,5
1969,7,19,9674,201,6
1969,7,20,8940,202,7
1969,7,21,10196,203,1
1969,7,22,11040,204,2
1969,7,23,10468,205,3
1969,7,24,10430,206,4
1969,7,25,10688,207,5
1969,7,26,9786,208,6
1969,7,27,9408,209,7
1969,7,28,10548,210,1
1969,7,29,11102,211,2
1969,7,30,10634,212,3
1969,7,31,10346,213,4
1969,8,1,10730,214,5
1969,8,2,9982,215,6
1969,8,3,9082,216,7
1969,8,4,10450,217,1
1969,8,5,10944,218,2
1969,8,6,10852,219,3
1969,8,7,10382,220,4
1969,8,8,11302,221,5
1969,8,9,10092,222,6
1969,8,10,9106,223,7
1969,8,11,10706,224,1
1969,8,12,11138,225,2
1969,8,13,10802,226,3
1969,8,14,10726,227,4
1969,8,15,10910,228,5
1969,8,16,9772,229,6
1969,8,17,9124,230,7
1969,8,18,10650,231,1
1969,8,19,11410,232,2
1969,8,20,10918,233,3
1969,8,21,10184,234,4
1969,8,22,10586,235,5
1969,8,23,9660,236,6
1969,8,24,9084,237,7
1969,8,25,10586,238,1
1969,8,26,11082,239,2
1969,8,27,10638,240,3
1969,8,28,10616,241,4
1969,8,29,10714,242,5
1969,8,30,9708,243,6
1969,8,31,8986,244,7
1969,9,1,9012,245,1
1969,9,2,10686,246,2
1969,9,3,11044,247,3
1969,9,4,10506,248,4
1969,9,5,10610,249,5
1969,9,6,9710,250,6
1969,9,7,9196,251,7
1969,9,8,10508,252,1
1969,9,9,10598,253,2
1969,9,10,10450,254,3
1969,9,11,10408,255,4
1969,9,12,10752,256,5
1969,9,13,9534,257,6
1969,9,14,9204,258,7
1969,9,15,10728,259,1
1969,9,16,11142,260,2
1969,9,17,10864,261,3
1969,9,18,10876,262,4
1969,9,19,10832,263,5
1969,9,20,10040,264,6
1969,9,21,9368,265,7
1969,9,22,10970,266,1
1969,9,23,11300,267,2
1969,9,24,10898,268,3
1969,9,25,10840,269,4
1969,9,26,11154,270,5
1969,9,27,10170,271,6
1969,9,28,9198,272,7
1969,9,29,10708,273,1
1969,9,30,11138,274,2
1969,10,1,10910,275,3
1969,10,2,10656,276,4
1969,10,3,10922,277,5
1969,10,4,9710,278,6
1969,10,5,8972,279,7
1969,10,6,10318,280,1
1969,10,7,10654,281,2
1969,10,8,10510,282,3
1969,10,9,10710,283,4
1969,10,10,10748,284,5
1969,10,11,9566,285,6
1969,10,12,9014,286,7
1969,10,13,9996,287,1
1969,10,14,10618,288,2
1969,10,15,10120,289,3
1969,10,16,9918,290,4
1969,10,17,10338,291,5
1969,10,18,9172,292,6
1969,10,19,8586,293,7
1969,10,20,10148,294,1
1969,10,21,10674,295,2
1969,10,22,10300,296,3
1969,10,23,9814,297,4
1969,10,24,10010,298,5
1969,10,25,9258,299,6
1969,10,26,8864,300,7
1969,10,27,10372,301,1
1969,10,28,10640,302,2
1969,10,29,10104,303,3
1969,10,30,10110,304,4
1969,10,31,10144,305,5
1969,11,1,9342,306,6
1969,11,2,8904,307,7
1969,11,3,10338,308,1
1969,11,4,10772,309,2
1969,11,5,10020,310,3
1969,11,6,10240,311,4
1969,11,7,10660,312,5
1969,11,8,9678,313,6
1969,11,9,9022,314,7
1969,11,10,10342,315,1
1969,11,11,10878,316,2
1969,11,12,10324,317,3
1969,11,13,10100,318,4
1969,11,14,10396,319,5
1969,11,15,9298,320,6
1969,11,16,8660,321,7
1969,11,17,10286,322,1
1969,11,18,10698,323,2
1969,11,19,10260,324,3
1969,11,20,10258,325,4
1969,11,21,10168,326,5
1969,11,22,9438,327,6
1969,11,23,8866,328,7
1969,11,24,10462,329,1
1969,11,25,10864,330,2
1969,11,26,10074,331,3
1969,11,27,8248,332,4
1969,11,28,9948,333,5
1969,11,29,9332,334,6
1969,11,30,8966,335,7
1969,12,1,10648,336,1
1969,12,2,10736,337,2
1969,12,3,10300,338,3
1969,12,4,10254,339,4
1969,12,5,10428,340,5
1969,12,6,9420,341,6
1969,12,7,8740,342,7
1969,12,8,10646,343,1
1969,12,9,10730,344,2
1969,12,10,10348,345,3
1969,12,11,10300,346,4
1969,12,12,10758,347,5
1969,12,13,9602,348,6
1969,12,14,8762,349,7
1969,12,15,10898,350,1
1969,12,16,11022,351,2
1969,12,17,10646,352,3
1969,12,18,10426,353,4
1969,12,19,10912,354,5
1969,12,20,9822,355,6
1969,12,21,8864,356,7
1969,12,22,10492,357,1
1969,12,23,9856,358,2
1969,12,24,8978,359,3
1969,12,25,8284,360,4
1969,12,26,9910,361,5
1969,12,27,9304,362,6
1969,12,28,9004,363,7
1969,12,29,10980,364,1
1969,12,30,12232,365,2
1969,12,31,11122,366,3
1970,1,1,8372,1,4
1970,1,2,9234,2,5
1970,1,3,9162,3,6
1970,1,4,8620,4,7
1970,1,5,9852,5,1
1970,1,6,10202,6,2
1970,1,7,10020,7,3
1970,1,8,9756,8,4
1970,1,9,9844,9,5
1970,1,10,9270,10,6
1970,1,11,9158,11,7
1970,1,12,10474,12,1
1970,1,13,10580,13,2
1970,1,14,10244,14,3
1970,1,15,9946,15,4
1970,1,16,10276,16,5
1970,1,17,9598,17,6
1970,1,18,8948,18,7
1970,1,19,10124,19,1
1970,1,20,10524,20,2
1970,1,21,10096,21,3
1970,1,22,9686,22,4
1970,1,23,10202,23,5
1970,1,24,9470,24,6
1970,1,25,8792,25,7
1970,1,26,10160,26,1
1970,1,27,10602,27,2
1970,1,28,10188,28,3
1970,1,29,9816,29,4
1970,1,30,9912,30,5
1970,1,31,9012,31,6
1970,2,1,9042,32,7
1970,2,2,10542,33,1
1970,2,3,10712,34,2
1970,2,4,10086,35,3
1970,2,5,9766,36,4
1970,2,6,10220,37,5
1970,2,7,9562,38,6
1970,2,8,9016,39,7
1970,2,9,10226,40,1
1970,2,10,10620,41,2
1970,2,11,10288,42,3
1970,2,12,10058,43,4
1970,2,13,10110,44,5
1970,2,14,9558,45,6
1970,2,15,9136,46,7
1970,2,16,10260,47,1
1970,2,17,10676,48,2
1970,2,18,10472,49,3
1970,2,19,10072,50,4
1970,2,20,10544,51,5
1970,2,21,9314,52,6
1970,2,22,8986,53,7
1970,2,23,10168,54,1
1970,2,24,10782,55,2
1970,2,25,10574,56,3
1970,2,26,10408,57,4
1970,2,27,10264,58,5
1970,2,28,9720,59,6
1970,3,1,8882,61,7
1970,3,2,10170,62,1
1970,3,3,11306,63,2
1970,3,4,10600,64,3
1970,3,5,10258,65,4
1970,3,6,10504,66,5
1970,3,7,9460,67,6
1970,3,8,8926,68,7
1970,3,9,10340,69,1
1970,3,10,10744,70,2
1970,3,11,10410,71,3
1970,3,12,10180,72,4
1970,3,13,10140,73,5
1970,3,14,9450,74,6
1970,3,15,8596,75,7
1970,3,16,10058,76,1
1970,3,17,10694,77,2
1970,3,18,10278,78,3
1970,3,19,10100,79,4
1970,3,20,10206,80,5
1970,3,21,9390,81,6
1970,3,22,8784,82,7
1970,3,23,10334,83,1
1970,3,24,10556,84,2
1970,3,25,10148,85,3
1970,3,26,9886,86,4
1970,3,27,9792,87,5
1970,3,28,8764,88,6
1970,3,29,8314,89,7
1970,3,30,9766,90,1
1970,3,31,10172,91,2
1970,4,1,10002,92,3
1970,4,2,10134,93,4
1970,4,3,10116,94,5
1970,4,4,9234,95,6
1970,4,5,8522,96,7
1970,4,6,10052,97,1
1970,4,7,10474,98,2
1970,4,8,9950,99,3
1970,4,9,9898,100,4
1970,4,10,10072,101,5
1970,4,11,9040,102,6
1970,4,12,8214,103,7
1970,4,13,9470,104,1
1970,4,14,10100,105,2
1970,4,15,9824,106,3
1970,4,16,9668,107,4
1970,4,17,9706,108,5
1970,4,18,8786,109,6
1970,4,19,8174,110,7
1970,4,20,9574,111,1
1970,4,21,10098,112,2
1970,4,22,9714,113,3
1970,4,23,9518,114,4
1970,4,24,9860,115,5
1970,4,25,8824,116,6
1970,4,26,8278,117,7
1970,4,27,9910,118,1
1970,4,28,10300,119,2
1970,4,29,9728,120,3
1970,4,30,9684,121,4
1970,5,1,9946,122,5
1970,5,2,8740,123,6
1970,5,3,8036,124,7
1970,5,4,9752,125,1
1970,5,5,10136,126,2
1970,5,6,9712,127,3
1970,5,7,9632,128,4
1970,5,8,9836,129,5
1970,5,9,8996,130,6
1970,5,10,8428,131,7
1970,5,11,10080,132,1
1970,5,12,10436,133,2
1970,5,13,10026,134,3
1970,5,14,9812,135,4
1970,5,15,10214,136,5
1970,5,16,8946,137,6
1970,5,17,8030,138,7
1970,5,18,10022,139,1
1970,5,19,10436,140,2
1970,5,20,10044,141,3
1970,5,21,10244,142,4
1970,5,22,10362,143,5
1970,5,23,9424,144,6
1970,5,24,8718,145,7
1970,5,25,10076,146,1
1970,5,26,10598,147,2
1970,5,27,10034,148,3
1970,5,28,10040,149,4
1970,5,29,9984,150,5
1970,5,30,8868,151,6
1970,5,31,8388,152,7
1970,6,1,10124,153,1
1970,6,2,10882,154,2
1970,6,3,10270,155,3
1970,6,4,9964,156,4
1970,6,5,10060,157,5
1970,6,6,9516,158,6
1970,6,7,8500,159,7
1970,6,8,9946,160,1
1970,6,9,10764,161,2
1970,6,10,10330,162,3
1970,6,11,10518,163,4
1970,6,12,10774,164,5
1970,6,13,9212,165,6
1970,6,14,8614,166,7
1970,6,15,10216,167,1
1970,6,16,10878,168,2
1970,6,17,10610,169,3
1970,6,18,10520,170,4
1970,6,19,10390,171,5
1970,6,20,9600,172,6
1970,6,21,8568,173,7
1970,6,22,10352,174,1
1970,6,23,10678,175,2
1970,6,24,10644,176,3
1970,6,25,10326,177,4
1970,6,26,10622,178,5
1970,6,27,9672,179,6
1970,6,28,8728,180,7
1970,6,29,10506,181,1
1970,6,30,11378,182,2
1970,7,1,11108,183,3
1970,7,2,11234,184,4
1970,7,3,10516,185,5
1970,7,4,9380,186,6
1970,7,5,9020,187,7
1970,7,6,10518,188,1
1970,7,7,11292,189,2
1970,7,8,10896,190,3
1970,7,9,10716,191,4
1970,7,10,10862,192,5
1970,7,11,9690,193,6
1970,7,12,9184,194,7
1970,7,13,10568,195,1
1970,7,14,11828,196,2
1970,7,15,11078,197,3
1970,7,16,11048,198,4
1970,7,17,10938,199,5
1970,7,18,9966,200,6
1970,7,19,9520,201,7
1970,7,20,10982,202,1
1970,7,21,11448,203,2
1970,7,22,10682,204,3
1970,7,23,10844,205,4
1970,7,24,10956,206,5
1970,7,25,9866,207,6
1970,7,26,9466,208,7
1970,7,27,11052,209,1
1970,7,28,11858,210,2
1970,7,29,11354,211,3
1970,7,30,11056,212,4
1970,7,31,11300,213,5
1970,8,1,10416,214,6
1970,8,2,9282,215,7
1970,8,3,11180,216,1
1970,8,4,11180,217,2
1970,8,5,10872,218,3
1970,8,6,10836,219,4
1970,8,7,11022,220,5
1970,8,8,10232,221,6
1970,8,9,9458,222,7
1970,8,10,10846,223,1
1970,8,11,11566,224,2
1970,8,12,11484,225,3
1970,8,13,11060,226,4
1970,8,14,11538,227,5
1970,8,15,10236,228,6
1970,8,16,9616,229,7
1970,8,17,11032,230,1
1970,8,18,11648,231,2
1970,8,19,11134,232,3
1970,8,20,10868,233,4
1970,8,21,11050,234,5
1970,8,22,9958,235,6
1970,8,23,9274,236,7
1970,8,24,10456,237,1
1970,8,25,11384,238,2
1970,8,26,11306,239,3
1970,8,27,10664,240,4
1970,8,28,11004,241,5
1970,8,29,10042,242,6
1970,8,30,9392,243,7
1970,8,31,11078,244,1
1970,9,1,11350,245,2
1970,9,2,10936,246,3
1970,9,3,11088,247,4
1970,9,4,11366,248,5
1970,9,5,10216,249,6
1970,9,6,9486,250,7
1970,9,7,9564,251,1
1970,9,8,11310,252,2
1970,9,9,11860,253,3
1970,9,10,11654,254,4
1970,9,11,11592,255,5
1970,9,12,10218,256,6
1970,9,13,9544,257,7
1970,9,14,11304,258,1
1970,9,15,11904,259,2
1970,9,16,11704,260,3
1970,9,17,11472,261,4
1970,9,18,11546,262,5
1970,9,19,10492,263,6
1970,9,20,9976,264,7
1970,9,21,11614,265,1
1970,9,22,12466,266,2
1970,9,23,11798,267,3
1970,9,24,11448,268,4
1970,9,25,11916,269,5
1970,9,26,10404,270,6
1970,9,27,9816,271,7
1970,9,28,11340,272,1
1970,9,29,11564,273,2
1970,9,30,11244,274,3
1970,10,1,10782,275,4
1970,10,2,11210,276,5
1970,10,3,10492,277,6
1970,10,4,9372,278,7
1970,10,5,11048,279,1
1970,10,6,11582,280,2
1970,10,7,11020,281,3
1970,10,8,10772,282,4
1970,10,9,11196,283,5
1970,10,10,9790,284,6
1970,10,11,9214,285,7
1970,10,12,11016,286,1
1970,10,13,11236,287,2
1970,10,14,10882,288,3
1970,10,15,10644,289,4
1970,10,16,10704,290,5
1970,10,17,9490,291,6
1970,10,18,8924,292,7
1970,10,19,10500,293,1
1970,10,20,11138,294,2
1970,10,21,10716,295,3
1970,10,22,10478,296,4
1970,10,23,10654,297,5
1970,10,24,9598,298,6
1970,10,25,9266,299,7
1970,10,26,10616,300,1
1970,10,27,10956,301,2
1970,10,28,10262,302,3
1970,10,29,10122,303,4
1970,10,30,10614,304,5
1970,10,31,9592,305,6
1970,11,1,9070,306,7
1970,11,2,10568,307,1
1970,11,3,11146,308,2
1970,11,4,10622,309,3
1970,11,5,10454,310,4
1970,11,6,10722,311,5
1970,11,7,9460,312,6
1970,11,8,9132,313,7
1970,11,9,10562,314,1
1970,11,10,11328,315,2
1970,11,11,10612,316,3
1970,11,12,10704,317,4
1970,11,13,10850,318,5
1970,11,14,9828,319,6
1970,11,15,9282,320,7
1970,11,16,10690,321,1
1970,11,17,11182,322,2
1970,11,18,10914,323,3
1970,11,19,10828,324,4
1970,11,20,11126,325,5
1970,11,21,9926,326,6
1970,11,22,8926,327,7
1970,11,23,10940,328,1
1970,11,24,11152,329,2
1970,11,25,10542,330,3
1970,11,26,8712,331,4
1970,11,27,10038,332,5
1970,11,28,9670,333,6
1970,11,29,9190,334,7
1970,11,30,11126,335,1
1970,12,1,11328,336,2
1970,12,2,11180,337,3
1970,12,3,10368,338,4
1970,12,4,10872,339,5
1970,12,5,9610,340,6
1970,12,6,9272,341,7
1970,12,7,10720,342,1
1970,12,8,11220,343,2
1970,12,9,10708,344,3
1970,12,10,10756,345,4
1970,12,11,10704,346,5
1970,12,12,10040,347,6
1970,12,13,9204,348,7
1970,12,14,11070,349,1
1970,12,15,11884,350,2
1970,12,16,11586,351,3
1970,12,17,11234,352,4
1970,12,18,11708,353,5
1970,12,19,10518,354,6
1970,12,20,9322,355,7
1970,12,21,11372,356,1
1970,12,22,11008,357,2
1970,12,23,10070,358,3
1970,12,24,9120,359,4
1970,12,25,8490,360,5
1970,12,26,9366,361,6
1970,12,27,9314,362,7
1970,12,28,11640,363,1
1970,12,29,12448,364,2
1970,12,30,11932,365,3
1970,12,31,11210,366,4
1971,1,1,8848,1,5
1971,1,2,9226,2,6
1971,1,3,8798,3,7
1971,1,4,10044,4,1
1971,1,5,10538,5,2
1971,1,6,10146,6,3
1971,1,7,10030,7,4
1971,1,8,10486,8,5
1971,1,9,9280,9,6
1971,1,10,9116,10,7
1971,1,11,10824,11,1
1971,1,12,11064,12,2
1971,1,13,10664,13,3
1971,1,14,10364,14,4
1971,1,15,10874,15,5
1971,1,16,9590,16,6
1971,1,17,8806,17,7
1971,1,18,10974,18,1
1971,1,19,11020,19,2
1971,1,20,10598,20,3
1971,1,21,10492,21,4
1971,1,22,10730,22,5
1971,1,23,9802,23,6
1971,1,24,8994,24,7
1971,1,25,10558,25,1
1971,1,26,10996,26,2
1971,1,27,10442,27,3
1971,1,28,10392,28,4
1971,1,29,10274,29,5
1971,1,30,9772,30,6
1971,1,31,9064,31,7
1971,2,1,10410,32,1
1971,2,2,10804,33,2
1971,2,3,10296,34,3
1971,2,4,10170,35,4
1971,2,5,10868,36,5
1971,2,6,9478,37,6
1971,2,7,9038,38,7
1971,2,8,10266,39,1
1971,2,9,10778,40,2
1971,2,10,10354,41,3
1971,2,11,10372,42,4
1971,2,12,10786,43,5
1971,2,13,9314,44,6
1971,2,14,9068,45,7
1971,2,15,10056,46,1
1971,2,16,10514,47,2
1971,2,17,10442,48,3
1971,2,18,10228,49,4
1971,2,19,10472,50,5
1971,2,20,9502,51,6
1971,2,21,9194,52,7
1971,2,22,10752,53,1
1971,2,23,10782,54,2
1971,2,24,10532,55,3
1971,2,25,10402,56,4
1971,2,26,10738,57,5
1971,2,27,9586,58,6
1971,2,28,8810,59,7
1971,3,1,10280,61,1
1971,3,2,10398,62,2
1971,3,3,10634,63,3
1971,3,4,10326,64,4
1971,3,5,10452,65,5
1971,3,6,9460,66,6
1971,3,7,8744,67,7
1971,3,8,10156,68,1
1971,3,9,10766,69,2
1971,3,10,10470,70,3
1971,3,11,10300,71,4
1971,3,12,10474,72,5
1971,3,13,9408,73,6
1971,3,14,8838,74,7
1971,3,15,10348,75,1
1971,3,16,10438,76,2
1971,3,17,10234,77,3
1971,3,18,9798,78,4
1971,3,19,10476,79,5
1971,3,20,9164,80,6
1971,3,21,8688,81,7
1971,3,22,10142,82,1
1971,3,23,10340,83,2
1971,3,24,9808,84,3
1971,3,25,9954,85,4
1971,3,26,9870,86,5
1971,3,27,8796,87,6
1971,3,28,8672,88,7
1971,3,29,10220,89,1
1971,3,30,10416,90,2
1971,3,31,10224,91,3
1971,4,1,9756,92,4
1971,4,2,10266,93,5
1971,4,3,8876,94,6
1971,4,4,8334,95,7
1971,4,5,9982,96,1
1971,4,6,10442,97,2
1971,4,7,9746,98,3
1971,4,8,9762,99,4
1971,4,9,9756,100,5
1971,4,10,8662,101,6
1971,4,11,8090,102,7
1971,4,12,9706,103,1
1971,4,13,10296,104,2
1971,4,14,9944,105,3
1971,4,15,9610,106,4
1971,4,16,9934,107,5
1971,4,17,8914,108,6
1971,4,18,8180,109,7
1971,4,19,9918,110,1
1971,4,20,10272,111,2
1971,4,21,9948,112,3
1971,4,22,9712,113,4
1971,4,23,9784,114,5
1971,4,24,8838,115,6
1971,4,25,7984,116,7
1971,4,26,9956,117,1
1971,4,27,10472,118,2
1971,4,28,9664,119,3
1971,4,29,9712,120,4
1971,4,30,9752,121,5
1971,5,1,8826,122,6
1971,5,2,7910,123,7
1971,5,3,9372,124,1
1971,5,4,9840,125,2
1971,5,5,9310,126,3
1971,5,6,9156,127,4
1971,5,7,9754,128,5
1971,5,8,8610,129,6
1971,5,9,8258,130,7
1971,5,10,9636,131,1
1971,5,11,10000,132,2
1971,5,12,9718,133,3
1971,5,13,9402,134,4
1971,5,14,9654,135,5
1971,5,15,8424,136,6
1971,5,16,7932,137,7
1971,5,17,9796,138,1
1971,5,18,10342,139,2
1971,5,19,9818,140,3
1971,5,20,9568,141,4
1971,5,21,9480,142,5
1971,5,22,8380,143,6
1971,5,23,7822,144,7
1971,5,24,9798,145,1
1971,5,25,10234,146,2
1971,5,26,9622,147,3
1971,5,27,9552,148,4
1971,5,28,9776,149,5
1971,5,29,8592,150,6
1971,5,30,7884,151,7
1971,5,31,8424,152,1
1971,6,1,9912,153,2
1971,6,2,9826,154,3
1971,6,3,9932,155,4
1971,6,4,10328,156,5
1971,6,5,8944,157,6
1971,6,6,8362,158,7
1971,6,7,9780,159,1
1971,6,8,10032,160,2
1971,6,9,9832,161,3
1971,6,10,9424,162,4
1971,6,11,9814,163,5
1971,6,12,8824,164,6
1971,6,13,8096,165,7
1971,6,14,9810,166,1
1971,6,15,9938,167,2
1971,6,16,9750,168,3
1971,6,17,9388,169,4
1971,6,18,9944,170,5
1971,6,19,8702,171,6
1971,6,20,8194,172,7
1971,6,21,9720,173,1
1971,6,22,10122,174,2
1971,6,23,9600,175,3
1971,6,24,9684,176,4
1971,6,25,10286,177,5
1971,6,26,8936,178,6
1971,6,27,8050,179,7
1971,6,28,9986,180,1
1971,6,29,10132,181,2
1971,6,30,10126,182,3
1971,7,1,10130,183,4
1971,7,2,10014,184,5
1971,7,3,8696,185,6
1971,7,4,8126,186,7
1971,7,5,8646,187,1
1971,7,6,10180,188,2
1971,7,7,10542,189,3
1971,7,8,10176,190,4
1971,7,9,10496,191,5
1971,7,10,9160,192,6
1971,7,11,8474,193,7
1971,7,12,9928,194,1
1971,7,13,10506,195,2
1971,7,14,10494,196,3
1971,7,15,10064,197,4
1971,7,16,10550,198,5
1971,7,17,9424,199,6
1971,7,18,8608,200,7
1971,7,19,9974,201,1
1971,7,20,10460,202,2
1971,7,21,10414,203,3
1971,7,22,10264,204,4
1971,7,23,10540,205,5
1971,7,24,9454,206,6
1971,7,25,8650,207,7
1971,7,26,10256,208,1
1971,7,27,10786,209,2
1971,7,28,10330,210,3
1971,7,29,10274,211,4
1971,7,30,10572,212,5
1971,7,31,9308,213,6
1971,8,1,8574,214,7
1971,8,2,10324,215,1
1971,8,3,10940,216,2
1971,8,4,10532,217,3
1971,8,5,9980,218,4
1971,8,6,10258,219,5
1971,8,7,9448,220,6
1971,8,8,9104,221,7
1971,8,9,10336,222,1
1971,8,10,11164,223,2
1971,8,11,10846,224,3
1971,8,12,10282,225,4
1971,8,13,10368,226,5
1971,8,14,9620,227,6
1971,8,15,8836,228,7
1971,8,16,10178,229,1
1971,8,17,10626,230,2
1971,8,18,10442,231,3
1971,8,19,10386,232,4
1971,8,20,10870,233,5
1971,8,21,9654,234,6
1971,8,22,8866,235,7
1971,8,23,10398,236,1
1971,8,24,10704,237,2
1971,8,25,10334,238,3
1971,8,26,10544,239,4
1971,8,27,10394,240,5
1971,8,28,9524,241,6
1971,8,29,8720,242,7
1971,8,30,10068,243,1
1971,8,31,10766,244,2
1971,9,1,10416,245,3
1971,9,2,10218,246,4
1971,9,3,10788,247,5
1971,9,4,9566,248,6
1971,9,5,8852,249,7
1971,9,6,9252,250,1
1971,9,7,10854,251,2
1971,9,8,10988,252,3
1971,9,9,10982,253,4
1971,9,10,10910,254,5
1971,9,11,9542,255,6
1971,9,12,8916,256,7
1971,9,13,10582,257,1
1971,9,14,11034,258,2
1971,9,15,10716,259,3
1971,9,16,10780,260,4
1971,9,17,11004,261,5
1971,9,18,9882,262,6
1971,9,19,9110,263,7
1971,9,20,10702,264,1
1971,9,21,11064,265,2
1971,9,22,10586,266,3
1971,9,23,10708,267,4
1971,9,24,10862,268,5
